#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
750 , 0.01 , 45.63206 , 2.080676 , 4.55968 , 0.1725433 
750 , 0.01 , 45.54846 , 2.124552 , 4.664378 , -0.02601216 
750 , 0.01 , 45.67457 , 2.019369 , 4.421212 , 0.1377019 
1000 , 0.01 , 45.33186 , 1.841573 , 4.062425 , -0.2325037 
1000 , 0.01 , 45.6202 , 1.8661 , 4.090513 , 0.09197577 
1000 , 0.01 , 45.41046 , 1.694282 , 3.73104 , -0.1171889 
1000 , 0.01 , 45.91058 , 1.88166 , 4.098532 , 0.2740134 
1000 , 0.01 , 45.67306 , 2.160993 , 4.731439 , 0.1672412 
1000 , 0.01 , 45.85705 , 1.769762 , 3.859302 , 0.3389168 
1000 , 0.01 , 45.51919 , 1.829317 , 4.018781 , -0.04295611 
1000 , 0.01 , 45.56254 , 1.736296 , 3.810797 , -0.005802758 
1000 , 0.01 , 45.45019 , 2.084416 , 4.586154 , -0.1609309 
1000 , 0.01 , 45.38031 , 1.842459 , 4.06004 , -0.1428681 
5 , 0.05 , 36.98997 , 29.20068 , 78.94215 , 2.445336 
5 , 0.05 , 34.37537 , 28.2251 , 82.10849 , -0.1393134 
5 , 0.05 , 36.55864 , 27.78315 , 75.99612 , 2.038979 
5 , 0.05 , 33.3392 , 26.64903 , 79.93301 , -1.140371 
5 , 0.05 , 35.84634 , 24.82924 , 69.26577 , 1.343715 
5 , 0.05 , 39.72282 , 27.35174 , 68.85649 , 5.185755 
5 , 0.05 , 35.14036 , 26.61501 , 75.73917 , 0.4863638 
5 , 0.05 , 37.63407 , 28.05617 , 74.54993 , 3.163498 
5 , 0.05 , 36.4055 , 26.5647 , 72.96892 , 1.928947 
